Date,Confirmed,Recovered,Deaths,Increase rate,day_number,new_cases
2020-01-22,557,30,17,,0,0.0
2020-01-23,657,32,18,17.953321364452425,1,100.0
2020-01-24,944,39,26,43.68340943683409,2,287.0
2020-01-25,1437,42,42,52.22457627118644,3,493.0
2020-01-26,2120,56,56,47.529575504523315,4,683.0
2020-01-27,2929,65,82,38.16037735849056,5,809.0
2020-01-28,5580,108,131,90.5087060430181,6,2651.0
2020-01-29,6169,127,133,10.555555555555555,7,589.0
2020-01-30,8237,145,171,33.52245096449992,8,2068.0
2020-01-31,9927,225,213,20.51717858443608,9,1690.0
2020-02-01,12038,287,259,21.2652362244384,10,2111.0
2020-02-02,16787,476,362,39.45007476324971,11,4749.0
2020-02-03,19887,627,426,18.466670637993683,12,3100.0
2020-02-04,23899,857,492,20.173983003972445,13,4012.0
2020-02-05,27644,1130,564,15.670111720155656,14,3745.0
2020-02-06,30806,1493,634,11.438286789176674,15,3162.0
2020-02-07,34400,2016,719,11.666558462637148,16,3594.0
2020-02-08,37131,2617,806,7.938953488372093,17,2731.0
2020-02-09,40162,3247,906,8.162990493118958,18,3031.0
2020-02-10,42771,3949,1013,6.496190428763509,19,2609.0
2020-02-11,44814,4684,1113,4.77660096794557,20,2043.0
2020-02-12,45232,5151,1118,0.932744231713304,21,418.0
2020-02-13,60384,6294,1371,33.49840820657941,22,15152.0
2020-02-14,66912,8061,1523,10.81081081081081,23,6528.0
2020-02-15,69055,9397,1666,3.202714012434242,24,2143.0
2020-02-16,71238,10867,1770,3.1612482803562383,25,2183.0
2020-02-17,73273,12587,1868,2.856621466071479,26,2035.0
2020-02-18,75155,14352,2008,2.568476792270004,27,1882.0
2020-02-19,75655,16123,2123,0.6652917304237909,28,500.0
2020-02-20,76216,18181,2248,0.7415240235278567,29,561.0
2020-02-21,76846,18894,2252,0.8265980896399705,30,630.0
2020-02-22,78608,22892,2459,2.292897483278245,31,1762.0
2020-02-23,78990,23397,2470,0.4859556279259108,32,382.0
2020-02-24,79558,25229,2630,0.7190783643499177,33,568.0
2020-02-25,80412,27907,2710,1.0734307046431537,34,854.0
2020-02-26,81385,30388,2771,1.2100184052131524,35,973.0
2020-02-27,82730,33282,2814,1.6526386926337775,36,1345.0
2020-02-28,84154,36714,2873,1.7212619364196786,37,1424.0
